Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,Shoes,Pumps ,WOMEN ,Mast & harbour ,Black bow pumps,Rs 1899,https://www.myntra.com/flats/mast26harbour/mast--harbour-black-textured-bow-detail-ballerinas-/28024946/buy,,
,,,Shoes ,Shoes ,Women ,Boohoo ,black pumps for women ,rs 4680,https://www.myntra.com/heels/boohoo/boohoo-black-work-pumps-with-patent-finish/20924850/buy,,
,,,Shoes,sneakers ,Women ,Tommy Hilfiger,Mens F23hmfw169 Sneaker,Rs 5999,https://amzn.in/d/1LI0U5U,,
,,,Shoes,Heels,Women ,Marc Loire ,Women white wedge heels,Rs 2695,https://www.myntra.com/heels/marcloire/marc-loire-women-white-pu-party-wedge-heels-/19769358/buy,,
,,,Shoes,Heels ,Women ,Tony Bianco ,women black heels shoes ,Rs 6599,https://www.amazon.com/Tony-Bianco-Laken/dp/B0B5RLY37L,,
,,,Shoes,flats ,Unisex ,Adda,white rubber sliders,Rs 799,https://www.myntra.com/flip-flops/adda/adda-men-rubber-sliders/20109630/buy,,
,,,Shoes,Shoes,women ,Flat n Heels,Pointed-Toe Pump Heeled Sandals,"₹4,999",https://www.ajio.com/flat-n-heels-pointed-toe-pump-heeled-sandals/p/466697533_silver,,
,,,Shoes,Shoes,Women ,Divanne,"High Heels, Women's Suede Pumps Pointy Toe Block Heels Slip-On Dress Office Shoes","Rs 3,670.15",https://a.co/d/hV9hBAi,,
,,,Shoes ,Flats ,Women ,The White Pole, Women Green Bellies,Rs 1999,https://dl.flipkart.com/s/Oad4n6NNNN,,
,,,Shoes,Shoes ,Women ,Dorothy Perkins ,Black solid pumps,Rs 3190,https://www.myntra.com/heels/dorothy-perkins/-dorothy-perkins-erica-black-mary-jane-belly-shoes/7442307/buy,,
,,,Shoes ,Loafers ,Men ,ATESBER BY inc 5,Men leather Loafers ,Rs 7490,https://www.myntra.com/formal-shoes/atesber%2Bby%2Binc.5/atesber-by-inc5-men-leather-formal-loafers/21543522/buy,,
,,,Shoes ,Shoes ,Men,EEGO ITALY ,Club wear men shoes,"Rs 2,999",https://dl.flipkart.com/s/IXOow4NNNN,,
,,,Shoes,Loafers ,Men,MAVERICK,New Latest Synthetic Leather Casual Shoes,₹619,https://www.meesho.com/maverick-new-latest-synthetic-leather-casual-shoes/p/1ik6lw,,
,,,Shoes,shoes,Men,Rosso brunello ,Men textured pointed toe leather formal shoes ,"Rs 12,499",https://www.myntra.com/formal-shoes/rossobrunello/rosso-brunello-men-textured-pointed-toe-leather-slip-on-formal-shoes/21955830/buy,,
,,,Shoes ,shoes,Men,GUAVA,Slip-On Loafers with Braided Hem,"₹2,999",https://www.ajio.com/guava-slip-on-loafers-with-braided-hem/p/463091034003,,
,,,Shoes,Shoes,Men,Bata Red Label, CASUAL SHOES FOR MEN,"₹ 2,499.00",https://www.bata.com/in/red-label-casual-shoes-for-men-500_0RL8311230248F.html,,
,,,Shoes ,Shoes,Men,U.s.polo assn,Men black sneakers ,Rs 3599,https://www.myntra.com/casual-shoes/uspoloassn/us-polo-assn-men-rojas-20-comfort-insole-basics-sneakers/23885610/buy,,
